DATE,START,END,LOCATION,CATEGORY,ACTION / WHO,NOTES
28/05/25,0:01,,Venue,DATE,Tag 1 von 4,
28/05/25,9:30,,Venue,START,Crew Call,
28/05/25,10:00,12:00,Venue,Load in,"Stagemobil, Mastertents",Jugendhaus Stuttgart e.V.
28/05/25,10:00,,Venue,Load in,Bauzäune,RentES
28/05/25,10:00,,Venue,Load in,Kühlanhänger,Dinkelacker
28/05/25,10:00,,,Setup,Spülmobil,Anlieferung
28/05/25,10:30,,Venue,Load in,PA,feel
28/05/25,12:00,,Venue,Load in,Drinks,Lämmle
28/05/25,17:00,,Venue,Load in,Ausschankwagen,Ensinger
28/05/25,18:00,,Venue,Load in,Ausschankwagen,Dinkelacker
29/05/25,0:01,,,DATE,Tag 2 von 4,
30/05/25,0:01,,,DATE,Tag 3 von 4,
30/05/25,12:00,,Venue,Setup,Crash-Barriers,30.05.2025
30/05/25,12:00,,Venue,Setup,Rockham Catering,
30/05/25,12:00,,Venue,Setup,Burger Bunz,
30/05/25,12:00,,Venue,Setup,Türkischer Verein,
30/05/25,12:00,,Wildwuchs-St.,Load in,Audio & scenic,
30/05/25,16:00,,Backstage,Get in,Beyond Confidence,
30/05/25,17:00,,Venue,START,Doors open,
30/05/25,17:00,,Backstage,Get in,Zweifel,
30/05/25,17:30,18:00,Main Stage,SET,Beyond Confidence,
30/05/25,18:00,18:30,Main Stage,Changeover,Changeover,
30/05/25,18:00,,Backstage,Get in,Bruchbude,
30/05/25,18:00,18:30,Wildwuchs-St.,SET / WW-St,Handbuch
30/05/25,18:30,19:00,Main Stage,SET,Zweifel,
30/05/25,19:00,19:30,Main Stage,Changeover,Changeover,
30/05/25,19:00,19:30,Wildwuchs-St.,SET / WW-St,Vincent Water,
30/05/25,19:15,,Backstage,Get in,ok.danke.tschüss,
30/05/25,19:30,20:15,Main Stage,SET,Bruchbude,
30/05/25,20:15,20:45,Main Stage,Changeover,Changeover,
30/05/25,20:15,20:45,Wildwuchs-St.,SET / WW-St,Lucia Loreen,
30/05/25,20:45,22:00,Main Stage,SET,ok.danke.tschüss,
30/05/25,22:00,,Venue,END,Closing,
31/05/25,0:01,,,DATE,Tag 4 von 4,
31/05/25,13:00,,Backstage,Get in,Vandalismus (TBC),
31/05/25,13:00,14:30,Venue,Setup,Kletterturm,
31/05/25,14:00,,Venue,START,Doors open,
31/05/25,14:00,,Backstage,Get in,Attractive Addiction,
31/05/25,14:30,15:00,Main Stage,SET,Vandalismus (TBC),
31/05/25,14:30,18:30,Venue,,Kletterturm,
31/05/25,15:00,15:30,Main Stage,Changeover,Changeover,
31/05/25,15:00,,Backstage,Get in,At the shore,
31/05/25,15:00,15:30,Wildwuchs-St.,SET / WW-St,Miiri und die Jungs,
31/05/25,15:30,16:00,Main Stage,SET,Attractive Addiction,
31/05/25,16:00,16:30,Main Stage,Changeover,Changeover,
31/05/25,16:00,,Main Stage,Get in,Paulinko,
31/05/25,16:00,16:30,Wildwuchs-St.,SET / WW-St,Annalena,
31/05/25,16:30,17:00,Main Stage,SET,At the shore,
31/05/25,17:00,17:30,Main Stage,Changeover,Changeover,
31/05/25,17:00,17:30,Main Stage,SET,Rede OB & Landrat,TBC!!!
31/05/25,17:15,,Backstage,Get in,Anda Morts,
31/05/25,17:30,18:15,Main Stage,SET,Paulinko,
31/05/25,18:15,18:45,Main Stage,Changeover,Changeover,
31/05/25,18:15,18:45,Wildwuchs-St.,SET / WW-St,Pynschi,
31/05/25,18:30,,Backstage,Get in,Lonely Spring,
31/05/25,18:30,19:30,Venue,Derig,Kletterturm,
31/05/25,18:45,19:30,Main Stage,SET,Anda Morts,
31/05/25,19:30,20:00,Main Stage,Changeover,Changeover,
31/05/25,19:30,20:00,Wildwuchs-St.,SET / WW-St,Talya,
31/05/25,20:00,21:00,Main Stage,SET,Lonely Spring,
31/05/25,20:10,,Backstage,Get in,Liedfett,
31/05/25,21:00,21:40,Main Stage,Changeover,Changeover,
31/05/25,21:00,21:40,Wildwuchs-St.,SET / WW-St,Jakob Longfield,
31/05/25,21:40,23:00,Main Stage,SET,Liedfett,
31/05/25,23:00,,Venue,END,Closing,
